gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
2KTGRL-LOC420808	7	4	5	4	325.71000000000004	651.4200000000001	15	1
44G24.1	11	12	0	4	124.74000000000001	249.48000000000002	15	1
A1CF	2	40	0	2	580.8000000000001	1161.6000000000001	15	1
A2M	56	45	6	11	1295.5800000000002	2591.1600000000003	15	1
A2ML1	36	51	6	10	1441.44	2882.88	15	1
A2ML2	44	52	7	6	1409.1000000000001	2818.2000000000003	15	1
A2ML4	78	120	9	8	1443.75	2887.5	15	1
A4GALT	9	19	0	0	357.39000000000004	714.7800000000001	15	1
A4GNT	7	13	1	6	385.11	770.22	15	1
AAAS	3	7	1	3	239.58	479.16	15	1
AACS	3	38	0	2	595.98	1191.96	15	1
AADAC	18	25	6	9	399.96000000000004	799.9200000000001	15	1
AADACL4L1	8	15	10	4	403.26	806.52	15	1
AADACL4L2	19	15	8	8	398.31	796.62	15	1
AADACL4L3	6	15	6	8	348.48	696.96	15	1
AADACL4L5	11	7	5	2	403.92	807.84	15	1
AADAT	5	18	1	0	420.75	841.5	15	1
AAED1	3	4	0	0	170.94	341.88	15	1
AAGAB	5	15	2	4	287.76	575.52	15	1
AAK1	23	32	4	5	1331.22	2662.44	15	1
AAMDC	2	8	1	1	121.77000000000001	243.54000000000002	15	1
AAMP	9	16	5	9	368.61	737.22	15	1
AANAT	0	3	3	2	203.94	407.88	15	1
AAR2	10	13	0	0	380.49	760.98	15	1
AAREL	16	17	11	5	215.16	430.32	15	1
AARS	5	42	7	17	951.3900000000001	1902.7800000000002	15	1
AARS2	13	38	2	15	898.59	1797.18	15	1
AARSD1	11	21	6	12	520.08	1040.16	15	1
AASDHPPT	3	19	2	2	283.47	566.94	15	1
AASS	9	31	1	4	875.82	1751.64	15	1
AATF	28	32	8	6	596.64	1193.28	15	1
AATK	26	41	22	31	1288.3200000000002	2576.6400000000003	15	1
ABAT	2	19	0	1	495.99	991.98	15	1
ABCA1	12	70	5	13	2286.9	4573.8	15	1
ABCA12	94	140	29	14	3934.59	7869.18	15	1
ABCA13	188	109	31	16	3488.4300000000003	6976.860000000001	15	1
ABCA2	31	113	2	2	2658.48	5316.96	15	1
ABCA3	9	56	3	34	1689.6000000000001	3379.2000000000003	15	1
ABCA4	40	82	21	24	2385.2400000000002	4770.4800000000005	15	1
ABCA5	10	87	7	25	1632.51	3265.02	15	1
ABCA7	21	45	27	37	1172.16	2344.32	15	1
ABCA8	24	77	13	21	1587.96	3175.92	15	1
ABCA9	86	78	18	17	1584.66	3169.32	15	1
ABCB1	44	44	5	6	1250.3700000000001	2500.7400000000002	15	1
ABCB10	6	25	0	2	571.5600000000001	1143.1200000000001	15	1
ABCB11	12	40	2	6	1291.29	2582.58	15	1
ABCB1LA	32	38	6	6	1287.66	2575.32	15	1
ABCB5	21	45	7	3	1324.6200000000001	2649.2400000000002	15	1
ABCB6	3	13	4	17	554.07	1108.14	15	1
ABCB9	5	33	5	8	727.32	1454.64	15	1
ABCC1	15	55	8	2	1499.19	2998.38	15	1
ABCC10	56	63	17	12	1524.6000000000001	3049.2000000000003	15	1
