gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div
2KTGRL-LOC420808	5	3	1	1	92.73	185.46	15	1	1	0.4	1	0.125	2	8
44G24.1	1	2	0	0	11.22	22.44	15	1	1	NA	1	NA	0	3
A1CF	1	14	0	0	175.23	350.46	15	1	1	NA	1	NA	0	15
A2M	26	21	3	3	386.43	772.86	15	1	1	0.192307692307692	1	0.0531914893617021	6	47
A2ML1	22	15	3	6	418.44	836.88	15	1	0.263929490815481	0.659090909090909	1	0.261261261261261	9	37
A2ML2	12	11	2	0	443.52	887.04	15	1	0.486666666666667	-Inf	1	-0.478260869565217	2	23
A2ML4	13	37	0	1	269.28	538.56	15	1	1	1	1	0.26	1	50
A4GALT	2	8	0	0	101.97	203.94	15	1	1	NA	1	NA	0	10
A4GNT	5	7	0	3	99.33	198.66	15	1	0.505494505494505	1	1	0.416666666666667	3	12
AACS	0	11	0	2	176.55	353.1	15	1	1	NA	1	0	2	11
AADAC	13	18	4	6	118.8	237.6	15	1	1	0.0769230769230769	1	0.0193548387096774	10	31
AADACL4L1	6	2	3	0	82.17	164.34	15	1	1	-Inf	1	-0.25	3	8
AADACL4L2	5	6	3	1	117.15	234.3	15	1	0.569230769230769	-2.6	1	-0.295454545454545	4	11
AADACL4L3	6	3	3	0	119.13	238.26	15	1	0.509090909090909	-Inf	1	-0.333333333333333	3	9
AADACL4L5	4	7	1	2	125.73	251.46	15	1	1	0.125	1	0.0303030303030303	3	11
AADAT	1	5	0	0	131.67	263.34	15	1	1	NA	1	NA	0	6
AAED1	0	2	0	0	48.84	97.68	15	1	1	NA	1	NA	0	2
AAGAB	2	7	1	2	85.8	171.6	15	1	1	-0.75	1	-0.111111111111111	3	9
AAK1	8	12	2	0	448.14	896.28	15	1	0.194805194805195	-Inf	1	-0.6	2	20
AAMDC	1	1	0	1	45.87	91.74	15	1	1	1	1	0.5	1	2
AAMP	2	3	2	1	53.13	106.26	15	1	1	-2	1	-0.266666666666667	3	5
AANAT	1	1	1	1	26.4	52.8	15	1	1	0	1	0	2	2
AAR2	4	8	0	0	102.96	205.92	15	1	1	NA	1	NA	0	12
AAREL	5	5	1	0	24.75	49.5	15	1	1	-Inf	1	-0.5	1	10
AARS	5	18	4	6	331.65	663.3	15	1	0.399858817489518	-1.4	1	-0.182608695652174	10	23
AARS2	4	15	1	3	216.15	432.3	15	1	1	-0.25	1	-0.0394736842105263	4	19
AARSD1	8	5	4	2	132	264	15	1	1	-0.25	1	-0.0512820512820512	6	13
AASDHPPT	1	7	0	0	78.54	157.08	15	1	1	NA	1	NA	0	8
AASS	2	10	1	1	297.99	595.98	15	1	0.395604395604396	-4	1	-0.333333333333333	2	12
AATF	5	8	2	1	155.1	310.2	15	1	0.55	-2.2	1	-0.282051282051282	3	13
AATK	5	7	2	4	132.99	265.98	15	1	1	0.3	1	0.0833333333333334	6	12
ABAT	0	6	0	1	180.18	360.36	15	1	1	NA	1	0	1	6
ABCA1	2	13	1	1	572.55	1145.1	15	1	0.330882352941177	-5.5	1	-0.366666666666667	2	15
ABCA12	38	51	12	4	1285.02	2570.04	15	1	0.0276711377815047	-3.02631578947368	1	-0.323033707865169	16	89
ABCA13	74	34	11	3	1038.51	2077.02	15	1	0.54844505438672	-0.684684684684685	1	-0.1005291005291	14	108
ABCA2	10	30	1	0	682.77	1365.54	15	1	0.268292682926829	-Inf	1	-0.75	1	40
ABCA3	5	20	1	11	391.38	782.76	15	1	0.640869861458097	0.636363636363636	1	0.116666666666667	12	25
ABCA4	19	43	10	12	831.93	1663.86	15	1	0.296405619035837	-0.885964912280702	1	-0.148093841642229	22	62
ABCA5	5	42	3	13	584.43	1168.86	15	1	0.407478662981061	-0.938461538461538	1	-0.0811170212765957	16	47
ABCA7	5	11	4	6	101.97	203.94	15	1	0.692448512585812	-0.466666666666667	1	-0.0875	10	16
ABCA8	11	31	7	5	478.17	956.34	15	1	0.0787652110745682	-2.94545454545455	1	-0.321428571428571	12	42
ABCA9	19	21	4	4	423.39	846.78	15	1	1	-0.105263157894737	1	-0.025	8	40
ABCB1	16	17	1	4	401.28	802.56	15	1	0.355144618302513	0.734375	1	0.284848484848485	5	33
ABCB10	2	8	0	1	123.42	246.84	15	1	1	1	1	0.2	1	10
ABCB11	6	20	2	2	427.68	855.36	15	1	0.283524904214559	-2.33333333333333	1	-0.269230769230769	4	26
ABCB1LA	12	21	2	2	477.84	955.68	15	1	0.62458929517753	-0.75	1	-0.136363636363636	4	33
ABCB5	10	15	2	0	441.54	883.08	15	1	0.188034188034188	-Inf	1	-0.6	2	25
ABCB6	1	3	0	2	67.32	134.64	15	1	1	1	1	0.25	2	4
ABCB9	1	17	0	4	199.32	398.64	15	1	1	1	1	0.0555555555555556	4	18
ABCC1	6	19	3	0	512.16	1024.32	15	1	0.0256410256410257	-Inf	1	-0.76	3	25
ABCC10	27	23	6	4	465.3	930.6	15	1	1	-0.277777777777778	1	-0.0599999999999999	10	50
ABCC13	10	16	0	1	366.3	732.6	15	1	1	1	1	0.384615384615385	1	26
ABCC2	3	15	1	2	180.84	361.68	15	1	0.488721804511278	-1.5	1	-0.166666666666667	3	18
ABCC3	2	22	1	2	450.12	900.24	15	1	0.308034188034188	-4.5	1	-0.25	3	24
ABCC5	1	10	1	0	482.79	965.58	15	1	0.166666666666667	-Inf	1	-0.909090909090909	1	11
ABCC6	18	31	4	1	436.59	873.18	15	1	0.146020091636074	-5.88888888888889	1	-0.43265306122449	5	49
ABCC8	4	25	2	1	528.99	1057.98	15	1	0.0826612903225806	-11.5	1	-0.528735632183908	3	29
ABCC9	3	17	0	1	482.46	964.92	15	1	1	1	1	0.15	1	20
ABCD2	1	9	0	4	190.74	381.48	15	1	1	1	1	0.1	4	10
ABCD3	0	7	0	1	194.04	388.08	15	1	1	NA	1	0	1	7
ABCD4	1	8	0	0	156.42	312.84	15	1	1	NA	1	NA	0	9
ABCE1	0	5	0	1	182.16	364.32	15	1	1	NA	1	0	1	5
ABCF2	0	7	0	3	181.17	362.34	15	1	1	NA	1	0	3	7
ABCF3	2	14	1	3	132	264	15	1	0.508771929824561	-1.33333333333333	1	-0.125	4	16
ABCG1	0	10	0	0	263.01	526.02	15	1	1	NA	1	NA	0	10
ABCG2	2	4	1	1	207.57	415.14	15	1	1	-1	1	-0.166666666666667	2	6
ABCG4	1	1	1	0	48.84	97.68	15	1	1	-Inf	1	-0.5	1	2
ABHD10	3	5	1	0	105.27	210.54	15	1	0.444444444444444	-Inf	1	-0.625	1	8
ABHD11	1	3	0	0	39.93	79.86	15	1	1	NA	1	NA	0	4
ABHD12	0	8	0	2	112.53	225.06	15	1	1	NA	1	0	2	8
ABHD13	0	2	0	0	124.41	248.82	15	1	1	NA	1	NA	0	2
ABHD14A	2	3	0	1	20.13	40.26	15	1	1	1	1	0.4	1	5
ABHD17A	0	4	0	0	45.54	91.08	15	1	1	NA	1	NA	0	4
ABHD17B	0	3	0	0	84.81	169.62	15	1	1	NA	1	NA	0	3
ABHD17C	0	3	0	1	54.12	108.24	15	1	1	NA	1	0	1	3
ABHD18	1	0	1	0	104.28	208.56	15	1	1	NA	1	0	1	1
ABHD2	0	7	0	1	153.45	306.9	15	1	1	NA	1	0	1	7
ABHD5	0	11	0	0	114.51	229.02	15	1	1	NA	1	NA	0	11
ABHD6	0	5	0	3	95.04	190.08	15	1	1	NA	1	0	3	5
ABHD8	0	3	0	2	78.21	156.42	15	1	1	NA	1	0	2	3
ABI2	1	6	1	0	169.62	339.24	15	1	0.25	-Inf	1	-0.857142857142857	1	7
ABI3	2	0	0	0	62.7	125.4	15	1	1	NA	1	NA	0	2
ABI3BP	11	15	1	1	370.26	740.52	15	1	1	-0.363636363636364	1	-0.0769230769230769	2	26
ABL2	1	9	1	2	326.7	653.4	15	1	0.423076923076923	-3.5	1	-0.233333333333333	3	10
ABLIM1	1	9	0	1	227.04	454.08	15	1	1	1	1	0.1	1	10
ABLIM2	0	5	0	0	60.39	120.78	15	1	1	NA	1	NA	0	5
ABLIM3	1	11	0	0	99.66	199.32	15	1	1	NA	1	NA	0	12
ABR	0	10	0	6	122.43	244.86	15	1	1	NA	1	0	6	10
ABRA	7	11	1	2	137.61	275.22	15	1	1	0.214285714285714	1	0.0555555555555556	3	18
ABRACL	0	1	0	1	29.04	58.08	15	1	1	NA	1	0	1	1
ABTB1	0	7	0	3	140.25	280.5	15	1	1	NA	1	0	3	7
ACAA1	2	7	0	1	107.25	214.5	15	1	1	1	1	0.222222222222222	1	9
ACAA2	1	18	0	4	99	198	15	1	1	1	1	0.0526315789473684	4	19
ACACA	0	36	0	7	746.79	1493.58	15	1	1	NA	1	0	7	36
ACACB	6	34	1	8	533.94	1067.88	15	1	1	0.291666666666667	1	0.0388888888888889	9	40
ACAD11	4	7	1	1	126.06	252.12	15	1	1	-0.75	1	-0.136363636363636	2	11
ACAD6L	3	7	1	1	126.39	252.78	15	1	1	-1.33333333333333	1	-0.2	2	10
ACAD8	1	8	0	1	108.57	217.14	15	1	1	1	1	0.111111111111111	1	9
ACAD9	0	7	0	1	173.91	347.82	15	1	1	NA	1	0	1	7
ACADSB	0	3	0	0	94.05	188.1	15	1	1	NA	1	NA	0	3
ACAN	15	30	5	9	563.31	1126.62	15	1	1	-0.111111111111111	1	-0.0238095238095238	14	45
ACAP2	2	16	1	1	248.16	496.32	15	1	0.284210526315789	-7	1	-0.388888888888889	2	18
ACAP3	0	10	0	3	177.54	355.08	15	1	1	NA	1	0	3	10
ACAT1	4	11	1	1	125.73	251.46	15	1	0.514705882352941	-1.75	1	-0.233333333333333	2	15
ACAT2	0	2	0	0	92.73	185.46	15	1	1	NA	1	NA	0	2
ACBD4	3	0	1	0	25.74	51.48	15	1	1	NA	1	0	1	3
ACBD5	7	5	3	2	139.92	279.84	15	1	1	-0.0714285714285714	1	-0.0166666666666666	5	12
ACCS	2	10	0	1	192.06	384.12	15	1	1	1	1	0.166666666666667	1	12
ACCSL	27	6	3	2	170.61	341.22	15	1	0.279307170948038	0.666666666666667	1	0.218181818181818	5	33
