gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div
2KTGRL-LOC420808	7	4	5	4	325.71	651.42	15	1	1	0.285714285714286	1	0.0808080808080808	9	11
44G24.1	11	12	0	4	124.74	249.48	15	1	0.122507122507122	1	1	0.478260869565217	4	23
A1CF	2	40	0	2	580.8	1161.6	15	1	1	1	1	0.0476190476190476	2	42
A2M	56	45	6	11	1295.58	2591.16	15	1	0.188532447641282	0.561688311688312	1	0.201514269073966	17	101
A2ML1	36	51	6	10	1441.44	2882.88	15	1	1	0.15	1	0.0387931034482759	16	87
A2ML2	44	52	7	6	1409.1	2818.2	15	1	0.768408454897039	-0.378787878787879	1	-0.0801282051282051	13	96
A2ML4	78	120	9	8	1443.75	2887.5	15	1	0.309487681974232	-0.730769230769231	1	-0.135472370766488	17	198
A4GALT	9	19	0	0	357.39	714.78	15	1	1	NA	1	NA	0	28
A4GNT	7	13	1	6	385.11	770.22	15	1	0.633363737711564	0.69047619047619	1	0.207142857142857	7	20
AAAS	3	7	1	3	239.58	479.16	15	1	1	0.222222222222222	1	0.05	4	10
AACS	3	38	0	2	595.98	1191.96	15	1	1	1	1	0.0731707317073171	2	41
AADAC	18	25	6	9	399.96	799.92	15	1	1	0.0740740740740741	1	0.0186046511627907	15	43
AADACL4L1	8	15	10	4	403.26	806.52	15	1	0.0448115523755124	-3.6875	0.822543273817637	-0.366459627329193	14	23
AADACL4L2	19	15	8	8	398.31	796.62	15	1	0.766636805410862	0.210526315789474	1	0.0588235294117647	16	34
AADACL4L3	6	15	6	8	348.48	696.96	15	1	0.476918798665183	-0.875	1	-0.142857142857143	14	21
AADACL4L5	11	7	5	2	403.92	807.84	15	1	1	-0.590909090909091	1	-0.103174603174603	7	18
AADAT	5	18	1	0	420.75	841.5	15	1	0.25	-Inf	1	-0.782608695652174	1	23
AAED1	3	4	0	0	170.94	341.88	15	1	1	NA	1	NA	0	7
AAGAB	5	15	2	4	287.76	575.52	15	1	1	-0.5	1	-0.0833333333333333	6	20
AAK1	23	32	4	5	1331.22	2662.44	15	1	1	-0.11304347826087	1	-0.0262626262626263	9	55
AAMDC	2	8	1	1	121.77	243.54	15	1	0.454545454545455	-3	1	-0.3	2	10
AAMP	9	16	5	9	368.61	737.22	15	1	1	0.0123456790123457	1	0.00285714285714284	14	25
AANAT	0	3	3	2	203.94	407.88	15	1	0.196428571428571	-Inf	1	-0.6	5	3
AAR2	10	13	0	0	380.49	760.98	15	1	1	NA	1	NA	0	23
AAREL	16	17	11	5	215.16	430.32	15	1	0.229295197301859	-1.3375	1	-0.202651515151515	16	33
AARS	5	42	7	17	951.39	1902.78	15	1	0.0902766839359054	-2.45882352941176	0.953786405978059	-0.185283687943262	24	47
AARS2	13	38	2	15	898.59	1797.18	15	1	0.32294563218835	0.61025641025641	1	0.137254901960784	17	51
AARSD1	11	21	6	12	520.08	1040.16	15	1	1	0.0454545454545454	1	0.0104166666666667	18	32
AASDHPPT	3	19	2	2	283.47	566.94	15	1	0.154849498327759	-5.33333333333333	1	-0.363636363636364	4	22
AASS	9	31	1	4	875.82	1751.64	15	1	1	0.138888888888889	1	0.025	5	40
AATF	28	32	8	6	596.64	1193.28	15	1	0.560082077032924	-0.523809523809524	1	-0.104761904761905	14	60
AATK	26	41	22	31	1288.32	2576.64	15	1	0.851666051303983	-0.119106699751861	1	-0.0270346381301042	53	67
ABAT	2	19	0	1	495.99	991.98	15	1	1	1	1	0.0952380952380952	1	21
ABCA1	12	70	5	13	2286.9	4573.8	15	1	0.182649864634246	-1.24358974358974	1	-0.131436314363144	18	82
ABCA12	94	140	29	14	3934.59	7869.18	15	1	0.00132948513501683	-2.08510638297872	0.2630636980271	-0.272709202941761	43	234
ABCA13	188	109	31	16	3488.43	6976.86	15	1	0.870507537610635	-0.123337765957447	1	-0.0265778350884733	47	297
ABCA2	31	113	2	2	2658.48	5316.96	15	1	0.215178208295153	-2.64516129032258	1	-0.284722222222222	4	144
ABCA3	9	56	3	34	1689.6	3379.2	15	1	0.528626241126493	0.450980392156863	1	0.0573804573804574	37	65
ABCA4	40	82	21	24	2385.24	4770.48	15	1	0.106528877349296	-0.79375	0.983875031494079	-0.13879781420765	45	122
ABCA5	10	87	7	25	1632.51	3265.02	15	1	0.129244933462012	-1.436	1	-0.115657216494845	32	97
ABCA7	21	45	27	37	1172.16	2344.32	15	1	0.275948021383547	-0.563706563706564	1	-0.103693181818182	64	66
ABCA8	24	77	13	21	1587.96	3175.92	15	1	0.121451162750846	-0.986111111111111	1	-0.144729178800233	34	101
ABCA9	86	78	18	17	1584.66	3169.32	15	1	1	0.039671682626539	1	0.0101045296167248	35	164
